Id,Date,Opening,High,Low,Closing,Yield,Adjusted
1,2006/2/10,1410,1410,1341,1341,2000,670.5
2,2006/2/13,1361,1361,1250,1250,2500,625
3,2006/2/14,1210,1219,1200,1200,5000,600
4,2006/2/15,1300,1300,1240,1240,4000,620
5,2006/2/17,1211,1211,1190,1190,2500,595
6,2006/2/20,1190,1190,1170,1170,1000,585
7,2006/2/21,1200,1200,1200,1200,500,600
8,2006/2/22,1200,1200,1199,1199,1000,599.5
9,2006/2/24,1210,1240,1210,1240,2000,620
10,2006/2/28,1240,1240,1220,1238,3000,619
11,2006/3/1,1190,1230,1190,1190,2500,595
12,2006/3/2,1200,1210,1170,1170,7000,585
13,2006/3/3,1170,1170,1170,1170,4500,585
14,2006/3/6,1150,1160,1105,1105,6500,552.5
15,2006/3/7,1106,1110,1100,1100,9000,550
16,2006/3/8,1101,1101,1051,1051,7500,525.5
17,2006/3/9,1030,1035,1007,1011,20000,505.5
18,2006/3/10,1022,1050,1021,1050,17000,525
19,2006/3/13,1101,1140,1100,1100,5000,550
20,2006/3/14,1100,1100,1053,1090,5000,545
21,2006/3/15,1108,1108,1080,1086,4000,543
22,2006/3/16,1075,1075,1070,1070,2000,535
23,2006/3/17,1070,1080,1070,1080,6000,540
24,2006/3/20,1075,1095,1075,1095,5000,547.5
25,2006/3/22,1100,1150,1100,1150,11500,575
26,2006/3/23,1200,1200,1150,1160,8000,580
27,2006/3/24,1161,1200,1161,1162,14000,581
28,2006/3/27,1166,1200,1166,1200,14000,600
29,2006/3/28,1119,1170,1111,1140,8500,570
30,2006/3/29,1122,1169,1122,1127,5000,563.5
31,2006/3/30,1135,1149,1125,1125,4000,562.5
32,2006/3/31,1145,1145,1112,1132,5500,566
33,2006/4/3,1150,1150,1135,1150,4000,575
34,2006/4/4,1150,1150,1140,1150,7000,575
35,2006/4/5,1140,1141,1134,1134,4000,567
36,2006/4/6,1124,1129,1121,1122,6500,561
37,2006/4/7,1122,1122,1111,1111,6500,555.5
38,2006/4/10,1165,1165,1120,1130,8000,565
39,2006/4/11,1130,1130,1111,1112,6000,556
40,2006/4/12,1113,1130,1113,1115,5000,557.5
41,2006/4/13,1131,1131,1112,1112,7000,556
42,2006/4/14,1132,1132,1112,1112,5000,556
43,2006/4/17,1112,1120,1110,1111,10000,555.5
44,2006/4/18,1108,1113,1080,1093,5000,546.5
45,2006/4/19,1093,1100,1093,1095,2500,547.5
46,2006/4/20,1082,1117,1080,1100,6500,550
47,2006/4/21,1099,1099,1085,1090,3500,545
48,2006/4/24,1100,1117,1086,1086,3500,543
49,2006/4/25,1080,1080,1060,1060,5000,530
50,2006/4/26,1099,1099,1050,1080,6000,540
51,2006/4/27,1060,1090,1060,1090,3500,545
52,2006/4/28,1095,1095,1046,1046,8500,523
53,2006/5/1,1050,1050,1040,1040,5900,520
54,2006/5/2,1037,1055,1010,1020,6800,510
55,2006/5/8,1000,1000,976,994,18600,497
56,2006/5/9,997,1060,997,1057,13700,528.5
57,2006/5/10,1057,1080,1050,1056,5700,528
58,2006/5/11,1060,1079,1010,1010,14000,505
59,2006/5/12,1012,1030,1010,1011,9000,505.5
60,2006/5/15,1011,1015,972,990,6200,495
61,2006/5/16,1020,1035,1020,1035,4000,517.5
62,2006/5/17,975,998,975,975,7100,487.5
63,2006/5/18,965,985,961,985,9700,492.5
64,2006/5/19,985,1005,975,1005,9200,502.5
65,2006/5/22,1008,1044,1007,1039,2000,519.5
66,2006/5/23,1015,1015,986,988,5900,494
67,2006/5/24,978,990,967,979,6700,489.5
68,2006/5/25,997,997,979,980,2700,490
69,2006/5/26,979,980,975,975,3400,487.5
70,2006/5/29,975,1000,960,972,10200,486
71,2006/5/30,945,968,945,968,9100,484
72,2006/5/31,968,970,903,960,13800,480
73,2006/6/1,960,960,939,939,9000,469.5
74,2006/6/2,939,939,900,910,8800,455
75,2006/6/5,898,900,881,891,5600,445.5
76,2006/6/6,871,898,840,840,9700,420
77,2006/6/7,860,889,848,880,8700,440
78,2006/6/8,876,876,850,850,3600,425
79,2006/6/9,820,854,820,840,8600,420
80,2006/6/12,851,851,831,849,6900,424.5
81,2006/6/13,848,850,840,842,3300,421
82,2006/6/14,840,875,840,873,3200,436.5
83,2006/6/15,873,900,873,900,5200,450
84,2006/6/16,920,925,901,920,5200,460
85,2006/6/19,920,928,915,915,4700,457.5
86,2006/6/20,916,918,915,915,4000,457.5
87,2006/6/21,925,925,900,900,4600,450
88,2006/6/22,922,922,915,915,700,457.5
89,2006/6/23,923,923,905,918,4100,459
90,2006/6/26,925,925,907,907,4400,453.5
91,2006/6/27,907,920,907,915,6100,457.5
92,2006/6/28,908,915,908,911,4500,455.5
93,2006/6/29,910,915,910,912,2200,456
94,2006/6/30,920,920,911,911,3300,455.5
95,2006/7/3,920,921,910,913,9500,456.5
96,2006/7/4,914,915,910,913,6600,456.5
97,2006/7/5,914,914,912,913,3600,456.5
98,2006/7/6,917,917,913,913,2800,456.5
99,2006/7/7,925,925,913,913,5300,456.5
100,2006/7/10,919,920,916,920,7400,460
101,2006/7/11,920,923,915,915,9400,457.5
102,2006/7/12,920,920,915,915,5300,457.5
103,2006/7/13,915,920,915,915,5900,457.5
104,2006/7/14,911,912,910,910,3100,455
105,2006/7/18,905,905,878,878,3400,439
106,2006/7/19,878,890,878,880,2700,440
107,2006/7/20,880,910,850,910,7200,455
108,2006/7/21,870,901,865,901,4500,450.5
109,2006/7/24,900,900,895,900,3200,450
110,2006/7/25,904,915,904,910,7600,455
111,2006/7/26,909,910,900,910,4300,455
112,2006/7/27,909,909,900,900,3800,450
113,2006/7/28,890,900,870,880,3900,440
114,2006/7/31,880,880,866,878,4600,439
115,2006/8/1,877,877,870,870,3600,435
116,2006/8/2,870,880,870,880,2900,440
117,2006/8/3,880,880,871,871,2700,435.5
118,2006/8/4,870,883,866,883,5700,441.5
119,2006/8/7,880,883,880,883,1800,441.5
120,2006/8/8,873,880,872,880,2600,440
121,2006/8/9,880,880,880,880,3400,440
122,2006/8/10,881,881,875,875,3800,437.5
123,2006/8/11,880,880,875,875,3500,437.5
124,2006/8/14,877,877,877,877,1300,438.5
125,2006/8/15,877,888,877,885,2400,442.5
126,2006/8/16,895,900,885,895,3600,447.5
127,2006/8/17,898,900,895,895,3800,447.5
128,2006/8/18,910,910,894,895,2500,447.5
129,2006/8/21,899,899,896,897,900,448.5
130,2006/8/22,897,899,897,897,3900,448.5
131,2006/8/23,897,899,890,890,6200,445
132,2006/8/24,899,899,890,899,4000,449.5
133,2006/8/25,890,893,884,890,7000,445
134,2006/8/28,897,897,890,890,2800,445
135,2006/8/29,898,900,890,892,4300,446
136,2006/8/30,896,900,890,892,4500,446
137,2006/8/31,892,895,890,892,13300,446
138,2006/9/1,892,892,890,892,2600,446
139,2006/9/4,893,898,893,895,4000,447.5
140,2006/9/5,896,897,890,897,18100,448.5
141,2006/9/6,893,897,890,897,11000,448.5
142,2006/9/7,898,900,895,900,6700,450
143,2006/9/8,897,910,895,910,4700,455
144,2006/9/11,916,934,916,929,12000,464.5
145,2006/9/12,935,940,910,910,8600,455
146,2006/9/13,905,917,905,917,3300,458.5
147,2006/9/14,901,930,901,930,5400,465
148,2006/9/15,928,928,922,926,2200,463
149,2006/9/19,926,926,895,900,10400,450
150,2006/9/20,900,901,890,901,9500,450.5
151,2006/9/21,891,900,891,900,5200,450
152,2006/9/22,910,910,910,910,900,455
153,2006/9/25,900,910,890,910,6200,455
154,2006/9/26,900,900,900,900,3000,450
155,2006/9/27,900,901,900,900,2100,450
156,2006/9/28,900,901,885,901,3600,450.5
157,2006/9/29,901,901,880,880,3100,440
158,2006/10/2,899,900,889,900,3000,450
159,2006/10/3,900,901,884,889,7900,444.5
160,2006/10/4,893,893,889,889,1800,444.5
161,2006/10/5,889,890,882,890,1300,445
162,2006/10/6,881,888,880,888,2100,444
163,2006/10/10,879,879,864,865,3000,432.5
164,2006/10/11,860,867,860,865,4900,432.5
165,2006/10/12,855,855,850,855,4500,427.5
166,2006/10/13,851,860,851,860,3900,430
167,2006/10/16,870,884,870,884,2100,442
168,2006/10/17,893,893,869,886,3800,443
169,2006/10/18,866,873,865,873,4300,436.5
170,2006/10/19,873,873,865,865,4600,432.5
171,2006/10/20,875,877,872,877,700,438.5
172,2006/10/23,875,881,871,872,1800,436
173,2006/10/24,882,882,871,871,2100,435.5
174,2006/10/25,883,883,871,871,4900,435.5
175,2006/10/26,888,888,872,872,3400,436
176,2006/10/27,872,880,872,880,1700,440
177,2006/10/30,880,880,880,880,1100,440
178,2006/10/31,871,880,871,880,1600,440
179,2006/11/1,880,880,879,879,200,439.5
180,2006/11/2,878,878,878,878,100,439
181,2006/11/6,888,890,870,890,4700,445
182,2006/11/7,883,883,871,880,2700,440
183,2006/11/8,879,880,865,875,3300,437.5
184,2006/11/9,877,899,875,899,4400,449.5
185,2006/11/10,880,884,875,884,2400,442
186,2006/11/13,880,885,850,850,3900,425
187,2006/11/14,853,875,853,865,1700,432.5
188,2006/11/15,866,866,852,864,2300,432
189,2006/11/16,856,864,852,852,3600,426
190,2006/11/17,852,853,850,852,3100,426
191,2006/11/20,805,816,803,805,7700,402.5
192,2006/11/21,810,810,795,795,12900,397.5
193,2006/11/22,765,777,750,750,18900,375
194,2006/11/24,770,770,730,730,14600,365
195,2006/11/27,733,799,732,768,80500,384
196,2006/11/28,764,777,757,777,14000,388.5
197,2006/11/29,780,800,780,800,12300,400
198,2006/11/30,810,834,810,831,14300,415.5
199,2006/12/1,841,845,830,830,11600,415
200,2006/12/4,830,834,822,823,6900,411.5
201,2006/12/5,825,825,803,804,6300,402
202,2006/12/6,805,810,802,809,4000,404.5
203,2006/12/7,799,800,783,800,15900,400
204,2006/12/8,810,813,805,808,2200,404
205,2006/12/11,810,813,809,813,6300,406.5
206,2006/12/12,810,816,810,815,8600,407.5
207,2006/12/13,817,818,814,814,1600,407
208,2006/12/14,816,825,815,817,6900,408.5
209,2006/12/15,821,823,816,820,7000,410
210,2006/12/18,822,822,817,821,10700,410.5
211,2006/12/19,820,821,816,816,16100,408
212,2006/12/20,820,820,810,820,11400,410
213,2006/12/21,819,820,817,819,8900,409.5
214,2006/12/22,820,821,818,820,8200,410
215,2006/12/25,827,827,818,819,15100,409.5
216,2006/12/26,819,820,818,818,8000,409
217,2006/12/27,819,819,818,818,3400,409
218,2006/12/28,821,838,821,838,7500,419
219,2006/12/29,838,880,838,875,7900,437.5
220,2007/1/4,873,874,870,874,2200,437
221,2007/1/5,871,873,871,873,4300,436.5
222,2007/1/9,871,888,870,888,7100,444
223,2007/1/10,878,888,878,884,5100,442
224,2007/1/11,884,900,884,900,5700,450
225,2007/1/12,891,902,888,901,4400,450.5
226,2007/1/15,909,916,906,911,5300,455.5
227,2007/1/16,919,940,912,935,11900,467.5
228,2007/1/17,937,945,935,945,4500,472.5
229,2007/1/18,944,944,925,927,12000,463.5
230,2007/1/19,931,935,910,926,9700,463
231,2007/1/22,916,939,916,922,6400,461
232,2007/1/23,930,932,920,920,7300,460
233,2007/1/24,923,924,907,912,12300,456
234,2007/1/25,911,912,902,910,5400,455
235,2007/1/26,902,915,902,914,2000,457
236,2007/1/29,919,920,910,911,4900,455.5
237,2007/1/30,912,915,910,911,7500,455.5
238,2007/1/31,911,912,906,911,7900,455.5
239,2007/2/1,915,915,914,915,2700,457.5
240,2007/2/2,915,918,911,912,5900,456
241,2007/2/5,915,918,915,918,2600,459
242,2007/2/6,920,958,920,933,11200,466.5
243,2007/2/7,941,974,941,974,25100,487
244,2007/2/8,974,990,970,990,12300,495
245,2007/2/9,980,993,970,993,18400,496.5
246,2007/2/13,999,1025,983,1025,26000,512.5
247,2007/2/14,1030,1040,1016,1019,25800,509.5
248,2007/2/15,1019,1038,990,1020,18600,510
249,2007/2/16,1001,1015,1001,1010,21400,505
250,2007/2/19,991,1005,991,1005,12300,502.5
251,2007/2/20,1017,1020,1007,1020,12500,510
252,2007/2/21,1099,1160,1055,1158,123700,579
253,2007/2/22,1163,1190,1155,1155,59600,577.5
254,2007/2/23,1148,1148,1095,1120,51400,560
255,2007/2/26,1120,1130,1107,1120,12000,560
256,2007/2/27,1120,1120,1100,1101,12000,550.5
257,2007/2/28,1021,1080,1020,1059,32500,529.5
258,2007/3/1,1056,1079,1056,1074,12000,537
259,2007/3/2,1070,1070,1040,1066,16100,533
260,2007/3/5,1034,1039,970,1017,29700,508.5
261,2007/3/6,990,1030,990,1030,19700,515
262,2007/3/7,1039,1060,1037,1049,11800,524.5
263,2007/3/8,1050,1050,1043,1043,3700,521.5
264,2007/3/9,1051,1062,1050,1050,7600,525
265,2007/3/12,1057,1080,1052,1080,8800,540
266,2007/3/13,1090,1090,1077,1077,3500,538.5
267,2007/3/14,1059,1059,1050,1057,7200,528.5
268,2007/3/15,1057,1062,1050,1060,6100,530
269,2007/3/16,1064,1064,1050,1058,5900,529
270,2007/3/19,1050,1058,1028,1047,5500,523.5
271,2007/3/20,1047,1049,1027,1045,11600,522.5
272,2007/3/22,1044,1044,1021,1040,18100,520
273,2007/3/23,1030,1030,1015,1015,24400,507.5
274,2007/3/26,1015,1015,1005,1005,20600,502.5
275,2007/3/27,1005,1005,990,1001,9200,500.5
276,2007/3/28,992,994,977,977,13600,488.5
277,2007/3/29,977,977,955,974,13500,487
278,2007/3/30,972,992,971,981,9200,490.5
279,2007/4/2,983,995,983,985,8200,492.5
280,2007/4/3,995,1015,995,1010,8800,505
281,2007/4/4,1025,1028,1000,1020,17700,510
282,2007/4/5,1023,1023,1016,1016,10000,508
283,2007/4/6,1018,1020,1005,1019,4300,509.5
284,2007/4/9,1019,1020,1008,1019,6500,509.5
285,2007/4/10,1020,1020,1010,1017,11600,508.5
